State,year,Population
PUDUCHERRY,2014,1344138
PUDUCHERRY,2015,1377819
PUDUCHERRY,2016,1412345
PUDUCHERRY,2017,1447736
PUDUCHERRY,2018,1484014
PUDUCHERRY,2019,1521201
PUDUCHERRY,2020,1559319
PUNJAB,2011,27743338
PUNJAB,2012,28106621
PUNJAB,2013,28474661
PUNJAB,2014,28847520
PUNJAB,2015,29225262
PUNJAB,2016,29607950
PUNJAB,2017,29995650
PUNJAB,2018,30388425
PUNJAB,2019,30786345
PUNJAB,2020,31189474
RAJASTHAN,2011,68548437
RAJASTHAN,2012,69885478
RAJASTHAN,2013,71248598
RAJASTHAN,2014,72638307
RAJASTHAN,2015,74055121
RAJASTHAN,2016,75499571
RAJASTHAN,2017,76972195
RAJASTHAN,2018,78473542
RAJASTHAN,2019,80004173
RAJASTHAN,2020,81564660
SIKKIM,2011,610576
SIKKIM,2012,618025
SIKKIM,2013,625565
SIKKIM,2014,633197
SIKKIM,2015,640922
SIKKIM,2016,648741
SIKKIM,2017,656656
SIKKIM,2018,664667
SIKKIM,2019,672776
SIKKIM,2020,680984
TAMIL NADU,2011,72147030
TAMIL NADU,2012,73201148
TAMIL NADU,2013,74270667
TAMIL NADU,2014,75355813
TAMIL NADU,2015,76456813
TAMIL NADU,2016,77573900
TAMIL NADU,2017,78707309
TAMIL NADU,2018,79857277
TAMIL NADU,2019,81024047
TAMIL NADU,2020,82207864
UTTAR PRADESH,2011,199812341
UTTAR PRADESH,2012,203526976
UTTAR PRADESH,2013,207310668
UTTAR PRADESH,2014,211164702
UTTAR PRADESH,2015,215090384
UTTAR PRADESH,2016,219089048
UTTAR PRADESH,2017,223162049
UTTAR PRADESH,2018,227310769
UTTAR PRADESH,2019,231536617
UTTAR PRADESH,2020,235841026
UTTARAKHAND,2011,10086292
UTTARAKHAND,2012,10261651
UTTARAKHAND,2013,10440059
UTTARAKHAND,2014,10621569
UTTARAKHAND,2015,10806234
UTTARAKHAND,2016,10994110
UTTARAKHAND,2017,11185253
UTTARAKHAND,2018,11379719
UTTARAKHAND,2019,11577565
UTTARAKHAND,2020,11778852
WEST BENGAL,2011,91276115
WEST BENGAL,2012,92467329
WEST BENGAL,2013,93674090
WEST BENGAL,2014,94896600
WEST BENGAL,2015,96135065
WEST BENGAL,2016,97389692
WEST BENGAL,2017,98660693
WEST BENGAL,2018,99948281
WEST BENGAL,2019,101252674
WEST BENGAL,2020,102574089
