State,City,year,SO2,NO2,PM2.5
Maharashtra,Mumbai,2015,16.75339203562857,21.21781583134232,65.94934156523999
Maharashtra,Mumbai,2016,29.35341822097348,20.187564518641466,33.2533167959013
Maharashtra,Mumbai,2017,28.53032372364355,20.187564518641466,33.2533167959013
Maharashtra,Mumbai,2018,13.389536005974588,21.699846710422282,33.87994556302458
Maharashtra,Mumbai,2019,11.54431137165836,21.87356725836749,33.74536885069581
Maharashtra,Mumbai,2020,10.851931693989068,22.34776502732241,36.23725409836066
Meghalaya,Shillong,2011,2.9186862244897958,10.094919217687075,72.33854166666667
Meghalaya,Shillong,2012,2.3483146067415728,10.679947694691977,64.72369882474493
Meghalaya,Shillong,2013,2.4299999999999997,10.96490099009901,64.6920297029703
Meghalaya,Shillong,2014,2.0,10.678104575163399,63.065032679738565
Meghalaya,Shillong,2015,3.7593307086614183,8.002549640534063,44.13609034644326
Meghalaya,Shillong,2016,5.5186614173228365,2.93988188976378,28.767598425196837
Meghalaya,Shillong,2017,5.5186614173228365,2.93988188976378,28.767598425196837
Meghalaya,Shillong,2018,5.5186614173228365,2.93988188976378,28.767598425196837
Meghalaya,Shillong,2019,5.5186614173228365,2.93988188976378,28.767598425196837
Meghalaya,Shillong,2020,7.303005464480875,2.6559289617486335,26.768879781420765
Mizoram,Aizawl,2011,2.0,5.15988475177305,45.806028369460996
Mizoram,Aizawl,2012,2.0,6.0574468085106385,55.12907801485106
Mizoram,Aizawl,2013,2.137267344735978,9.296601633535591,48.46307905686547
Mizoram,Aizawl,2014,2.0641025641019235,7.607692307692308,42.620512820403846
Mizoram,Aizawl,2015,2.0018691588785047,8.444556431087495,44.19260192966075
Mizoram,Aizawl,2016,3.077105946571831,6.833344259914243,38.723798357887894
Mizoram,Aizawl,2017,4.152342734265158,5.2221320887409926,33.25499478611504
Mizoram,Aizawl,2018,5.227579521958484,3.6109199175677418,27.786191214342182
Mizoram,Aizawl,2019,6.302816309651812,1.9997077463944901,22.317387642569326
Mizoram,Aizawl,2020,7.378053097345139,0.38849557522123906,16.84858407079647
Odisha,Talcher,2011,7.82431315843834,18.939268746126835,115.88535426564759
Odisha,Talcher,2012,7.82431315843834,18.939268746126835,115.88535426564759
Odisha,Talcher,2013,8.438095238095237,21.371428571428574,110.13333333333333
Odisha,Talcher,2014,9.310679611650485,23.71844660194175,124.0873786407767
Odisha,Talcher,2015,24.155192307692307,12.33826923076923,129.4876923076923
Odisha,Talcher,2016,38.32,0.08999999999999998,123.60999999999997
Odisha,Talcher,2017,38.32,0.08999999999999998,123.60999999999997
Odisha,Talcher,2018,33.099438356164406,16.86398630136987,74.73754794520548
Odisha,Talcher,2019,27.24612328767123,10.057712328767128,49.67312328767122
Odisha,Talcher,2020,24.091721311475403,12.720792349726771,63.68480874316948
Punjab,Amritsar,2011,14.297933467741935,36.26038306451614,210.35181451612902
Punjab,Amritsar,2012,14.558506944444446,37.4733630952381,209.34771825396825
Punjab,Amritsar,2013,12.837824962569755,39.62151218184293,180.22114468490543
Punjab,Amritsar,2014,13.411593707250343,40.41843365253078,190.36337209302326
Punjab,Amritsar,2015,8.804460859414217,25.413453322175336,111.44359522318477
Punjab,Amritsar,2016,6.444464285714284,20.981087662337657,75.07090909090908
Punjab,Amritsar,2017,6.444464285714284,20.981087662337657,75.07090909090908
Punjab,Amritsar,2018,5.222109589041095,22.416602739726013,49.01304109589043
Punjab,Amritsar,2019,13.082808219178101,15.813739726027393,50.655876712328755
Punjab,Amritsar,2020,10.257677595628417,14.470874316939888,36.79811475409839
Rajasthan,Jaipur,2011,6.8244559898122645,36.677630838286476,147.27443933155615
Rajasthan,Jaipur,2012,9.141801788313444,51.721242612391315,186.1905192914478
Rajasthan,Jaipur,2013,7.474191583594991,40.25213762883532,160.57712040102447
Rajasthan,Jaipur,2014,7.054240035560923,42.687446753567656,150.6684223249636
Rajasthan,Jaipur,2015,8.19574168001825,36.96211133228077,126.42762714989671
Rajasthan,Jaipur,2016,9.306553333874106,38.0192321995097,82.36524148280336
Rajasthan,Jaipur,2017,9.306553333874106,38.0192321995097,82.36524148280336
Rajasthan,Jaipur,2018,10.892242009132424,34.61391780821916,62.687808219178045
Rajasthan,Jaipur,2019,12.134013698630136,33.58204566210045,49.413963470319636
Rajasthan,Jaipur,2020,12.134426229508193,28.406448087431684,40.90983606557378
Tamil Nadu,Chennai,2011,13.061802523937057,22.085029346747326,79.76649469292923
Tamil Nadu,Chennai,2012,12.267833684549753,22.931552814785675,75.08806995599768
Tamil Nadu,Chennai,2013,12.162888605611315,21.267933129084387,68.68132212189894
Tamil Nadu,Chennai,2014,12.606896058799489,22.070536205567212,56.75811961931345
Tamil Nadu,Chennai,2015,12.012609413568972,18.62301197432985,57.16178208407079
Tamil Nadu,Chennai,2016,5.280884207679261,14.936320130562068,44.980798344355584
Tamil Nadu,Chennai,2017,7.914869083420752,17.448243994464622,40.59685647846392
Tamil Nadu,Chennai,2018,9.037923626642433,17.017759697372107,51.338157848755955
Tamil Nadu,Chennai,2019,8.33323869513559,16.007074765865244,43.544452369303876
Tamil Nadu,Chennai,2020,8.766024590163935,11.250997267759562,29.055833333333325
Tamil Nadu,Coimbatore,2011,4.263487943900315,32.93117897757073,85.71004749355264
Tamil Nadu,Coimbatore,2012,3.4673211486124216,27.07752375975332,68.12264410253626
Tamil Nadu,Coimbatore,2013,4.188118042613657,24.535395729054354,55.74830144270934
Tamil Nadu,Coimbatore,2014,4.555059410099915,25.394215905425995,49.130067239727225
Tamil Nadu,Coimbatore,2015,6.760367678500589,20.204676888798996,38.19641813527016
Tamil Nadu,Coimbatore,2016,9.532857142857141,15.473251231527094,29.55881773399013
Tamil Nadu,Coimbatore,2017,9.532857142857141,15.473251231527094,29.55881773399013
Tamil Nadu,Coimbatore,2018,9.532857142857141,15.473251231527094,29.55881773399013
Tamil Nadu,Coimbatore,2019,9.532857142857141,15.473251231527094,29.55881773399013
Tamil Nadu,Coimbatore,2020,7.540245901639344,43.664508196721286,28.445491803278706
Telangana,Hyderabad,2011,4.879269170014542,28.562488918995086,87.06774166469891
Telangana,Hyderabad,2012,4.888850371725555,27.689523389465858,90.60038604227427
Telangana,Hyderabad,2013,5.218253331485044,22.252464084021554,92.7874300292211
Telangana,Hyderabad,2014,5.043708854420737,23.60689284725273,96.07025051957879
Telangana,Hyderabad,2015,9.517379702735763,23.530520141510063,69.82808477349079
Telangana,Hyderabad,2016,14.940636659592002,23.967465929708922,40.22499585186623
Telangana,Hyderabad,2017,12.73984394459687,23.552642219208735,37.8305784848099
Telangana,Hyderabad,2018,8.871630136986301,37.489732305936066,43.24171689497715
Telangana,Hyderabad,2019,6.941518264840184,29.638369863013683,41.7327305936073
Telangana,Hyderabad,2020,6.621179417122043,27.664458105646627,36.394116575591994
Uttar Pradesh,Lucknow,2011,8.137195552520199,32.91396028942766,188.70119007202112
Uttar Pradesh,Lucknow,2012,7.969995478595479,31.714249254449253,211.72176123136123
Uttar Pradesh,Lucknow,2013,7.528043220445161,29.393906410262893,191.7115337457729
Uttar Pradesh,Lucknow,2014,7.7002335296282665,28.256037480063792,175.31628401423137
Uttar Pradesh,Lucknow,2015,12.413167165528465,31.536169135517305,170.6699617818158
Uttar Pradesh,Lucknow,2016,11.363600800491458,43.11605665260272,156.1265503235795
Uttar Pradesh,Lucknow,2017,11.102039099266314,43.3847737746428,155.5539084541781
Uttar Pradesh,Lucknow,2018,10.806827005870842,37.88369199711607,110.49610511896185
Uttar Pradesh,Lucknow,2019,8.34685714285715,34.29096322999274,93.24135991348228
Uttar Pradesh,Lucknow,2020,7.659021857923496,27.225415300546455,67.11660109289618
