State,Year,SO2,NO2,PM2.5,Mpc,zscore,spot,xco,yco
Chhattisgarh,2016,10.251015930592695,24.754182155349497,111.6817101581388,48.89563608136033,0.049,0.0,22.09042035,82.15998734
Chhattisgarh,2017,10.36482763287378,24.56894953413364,103.24640566946648,46.0600609454913,-0.063,0.0,22.09042035,82.15998734
Chhattisgarh,2018,10.478639335154869,24.383716912917777,94.81110118079415,43.22448580962227,-0.16,0.0,22.09042035,82.15998734
Chhattisgarh,2019,10.592451037435954,24.19848429170192,86.37579669212184,40.38891067375324,-0.187,0.0,22.09042035,82.15998734
Chhattisgarh,2020,10.706262739717038,24.013251670486056,77.94049220344951,37.5533355378842,-0.253,0.0,22.09042035,82.15998734
Dadra & Nagar Haveli,2011,7.592783505154638,19.35463917525773,39.20310662146272,22.050176433958367,-3.392,-1.0,20.1656,73.0296
Dadra & Nagar Haveli,2012,7.618666666666668,20.18133333333333,83.59731543624164,37.13243847874721,-2.818,-1.0,20.1656,73.0296
Dadra & Nagar Haveli,2013,7.618666666666668,20.18133333333333,83.59731543624164,37.13243847874721,-1.14,-1.0,20.1656,73.0296
Dadra & Nagar Haveli,2014,15.883720930232558,26.906976744186046,88.67441860465117,43.821705426356594,-0.375,0.0,20.1656,73.0296
Dadra & Nagar Haveli,2015,15.883720930232558,26.906976744186046,88.67441860465117,43.821705426356594,-0.319,0.0,20.1656,73.0296
Dadra & Nagar Haveli,2016,15.883720930232558,26.906976744186046,88.67441860465117,43.821705426356594,-0.178,0.0,20.1656,73.0296
Dadra & Nagar Haveli,2017,15.883720930232558,26.906976744186046,88.67441860465117,43.821705426356594,-0.5,0.0,20.1656,73.0296
Dadra & Nagar Haveli,2018,15.883720930232558,26.906976744186046,88.67441860465117,43.821705426356594,-0.538,-1.0,20.1656,73.0296
Dadra & Nagar Haveli,2019,15.883720930232558,26.906976744186046,88.67441860465117,43.821705426356594,-0.009,0.0,20.1656,73.0296
Dadra & Nagar Haveli,2020,15.883720930232558,26.906976744186046,88.67441860465117,43.821705426356594,0.85,1.0,20.1656,73.0296
Daman & Diu,2011,7.490990990990992,19.61171171171171,38.372261150038966,21.82498795091389,0.0,-1.0,20.39833011,72.82907658
Daman & Diu,2012,7.628947368421052,20.147368421052636,77.36419753086425,35.04683777344598,0.0,-1.0,20.39833011,72.82907658
Daman & Diu,2013,7.628947368421052,20.147368421052636,77.36419753086425,35.04683777344598,0.0,-1.0,20.39833011,72.82907658
Daman & Diu,2014,14.454545454545457,24.954545454545453,83.06818181818181,40.82575757575757,0.0,1.0,20.39833011,72.82907658
Daman & Diu,2015,14.454545454545457,24.954545454545453,83.06818181818181,40.82575757575757,0.0,1.0,20.39833011,72.82907658
Daman & Diu,2016,14.454545454545457,24.954545454545453,83.06818181818181,40.82575757575757,0.0,1.0,20.39833011,72.82907658
Daman & Diu,2017,14.454545454545457,24.954545454545453,83.06818181818181,40.82575757575757,0.0,-1.0,20.39833011,72.82907658
Daman & Diu,2018,14.454545454545457,24.954545454545453,83.06818181818181,40.82575757575757,0.0,-1.0,20.39833011,72.82907658
Daman & Diu,2019,14.454545454545457,24.954545454545453,83.06818181818181,40.82575757575757,0.0,-1.0,20.39833011,72.82907658
Daman & Diu,2020,14.454545454545457,24.954545454545453,83.06818181818181,40.82575757575757,0.0,1.0,20.39833011,72.82907658
Delhi,2011,7.823042280326211,50.85658887261357,180.47214572600623,79.71725895964867,3.045,1.0,28.8297,77.1028
Delhi,2012,7.934732095141026,52.30219072446542,183.2314049852655,81.15610926829065,1.767,1.0,28.8297,77.1028
Delhi,2013,6.415259493599836,46.01681810103541,180.89395812752767,77.77534524072097,1.629,1.0,28.8297,77.1028
Delhi,2014,6.7644241569406045,44.64259975400326,175.5059471852235,75.6376570320558,1.319,1.0,28.8297,77.1028
Delhi,2015,10.054811693900522,45.754856820418496,152.99503250613145,69.60156700681682,0.538,1.0,28.8297,77.1028
Delhi,2016,13.309524278244323,43.28070319394607,121.36958187026546,59.31993644748528,-0.254,0.0,28.8297,77.1028
Delhi,2017,13.959884542351958,46.54168595333336,121.04973992555404,60.51710347374645,-0.196,0.0,28.8297,77.1028
